feature_set,fold,model,r2,rmse,mae
original_GRU_234d,3,XGBoost,0.8408833557425209,2.3272995805332544,1.70811683171965
original_GRU_234d,3,CatBoost,0.8512913453254196,2.2498968521389955,1.6653655128169722
original_GRU_234d,4,LightGBM,0.8583375588271801,2.2005267482071402,1.6003903213168622
original_GRU_234d,4,ExtraTrees,0.8483813631583236,2.2765415704075807,1.635160011621027
original_GRU_234d,4,RandomForest,0.8461354171544718,2.2933409351370706,1.6334473201523245
original_GRU_234d,4,XGBoost,0.8548014950711855,2.227821359655268,1.5819748435394916
original_GRU_234d,4,CatBoost,0.8639112488957498,2.1568026352826513,1.5792169125452833
original_all_490d,0,LightGBM,0.9243134449131002,1.5753784966187703,1.0577911870341086
original_all_490d,0,ExtraTrees,0.9138038563556335,1.6812003124279646,1.1506165331866314
original_all_490d,0,RandomForest,0.9091534077562925,1.7259565741457796,1.1375576170333777
original_all_490d,0,XGBoost,0.9110938409249165,1.707424339563511,1.0915064536128076
original_all_490d,0,CatBoost,0.919833964836047,1.6213274901299135,1.105644443676102
original_all_490d,1,LightGBM,0.9260154091602586,1.6054872704695728,1.1330038807925256
original_all_490d,1,ExtraTrees,0.9106341943321612,1.7645010285385159,1.2497884559898749
original_all_490d,1,RandomForest,0.9047666458348809,1.8215066816236136,1.247058538450969
original_all_490d,1,XGBoost,0.9168800186659892,1.7017233061637287,1.1620296282647162
original_all_490d,1,CatBoost,0.9187880323151821,1.6820784423113826,1.2087241063508174
original_all_490d,2,LightGBM,0.9204486274768713,1.6411039687646245,1.1555065015808506
original_all_490d,2,ExtraTrees,0.9093311965552271,1.752028632833251,1.2071464757950792
original_all_490d,2,RandomForest,0.9015775984775091,1.82540500122315,1.239508640651115
original_all_490d,2,XGBoost,0.913976220977907,1.7065598185238267,1.1858588893391795
original_all_490d,2,CatBoost,0.9140918508317049,1.7054124868222824,1.2042935309208183
original_all_490d,3,LightGBM,0.9240910299141477,1.6074631849980423,1.1475530615468847
original_all_490d,3,ExtraTrees,0.9026533049156124,1.820350811129084,1.2757096900647606
original_all_490d,3,RandomForest,0.9037236853494751,1.8103152693014466,1.2805247941573816
original_all_490d,3,XGBoost,0.912795659128482,1.7229137526915848,1.1720574438159272
original_all_490d,3,CatBoost,0.9167560336713853,1.6833362200702349,1.2211484459523432
original_all_490d,4,LightGBM,0.9250093334008896,1.6010426392314216,1.0891464239998172
original_all_490d,4,ExtraTrees,0.9068103924950707,1.7847731856917803,1.2336031560040197
original_all_490d,4,RandomForest,0.9072126570740512,1.7809169215040022,1.2328809790999729
original_all_490d,4,XGBoost,0.9159396472975891,1.6950983267215494,1.1518383948686788
original_all_490d,4,CatBoost,0.9124626293047696,1.7298005869948863,1.1771901346259144
