seed,model,r2,rmse,mae
42,LightGBM,0.6787690786270173,3.27539107087019,2.423779208105784
42,ExtraTrees,0.6386378440641804,3.473968077492746,2.5367441256403565
42,RandomForest,0.6715246809083609,3.312118455820434,2.4171658927713047
2024,LightGBM,0.6768411676526804,3.2485689927934276,2.357247197526353
2024,ExtraTrees,0.6546347136716023,3.3583304033275785,2.4438115133091705
2024,RandomForest,0.6703217808403102,3.281173590650011,2.341205303202258
31415,LightGBM,0.7298027842731398,3.1010903156493534,2.2733580517270853
31415,ExtraTrees,0.7017773248444306,3.257949219494702,2.410597065855872
31415,RandomForest,0.7123288118701708,3.199795059639715,2.3442841682668187
